Artikelnummer;Bestand;Reserviert
100950;6;0
100952;0;0
100953;0;0
100954;1;0
100955;1;0
100956;0;0
100957;1;0
100958;1;0
100959;20;0
100962;11;0
100963;2;0
100964;5;0
100965;0;0
100966;0;0
100967;26;0
100968;29;0
100969;13;0
100974;0;0
100978;0;0
100979;0;0
100980;0;0
100983;0;0
100984;0;0
100985;3;0
100986;16;0
100987;27;0
100988;0;0
100995;0;0
100996;0;0
100997;0;0
100999;0;0
101000;0;0
101003;0;0
101004;0;0
101005;0;0
101007;0;0
101008;0;0
101009;3;0
101010;24;0
101011;36;0
101012;26;0
101013;2;0
101014;15;0
101015;27;0
101016;14;0
101017;34;0
101018;0;0
101019;1;0
101020;10;0
101021;4;0
101022;6;0
101023;0;0
101024;1;0
101025;0;0
101026;0;0
101027;0;0
101028;0;0
101029;0;0
101030;0;0
101031;0;0
101032;0;0
101033;0;0
101034;1;0
101035;1;0
101036;1;0
101037;1;0
101038;0;0
101039;6;0
101040;0;0
101044;34;0
101045;34;0
101046;29;0
101047;22;0
101048;49;10
101049;35;0
101050;28;0
101051;31;0
101052;13;0
101053;44;0
101054;35;0
101055;54;0
101056;30;0
101057;19;0
101065;24;0
101066;0;0
101068;2;0
101069;15;0
101078;0;0
101080;12;0
101081;0;0
101082;6;0
101084;0;0
101085;9;0
101086;5;0
101087;12;0
101088;6;0
101089;0;0
101090;0;0
101092;0;0
101093;0;0
101094;7;0
101096;0;0
101097;49;10
101098;9;0
101099;23;0
101100;55;0
101101;47;0
101102;0;0
101103;27;0
101104;45;0
101105;52;0
101106;23;0
101107;34;0
101108;30;0
101109;10;0
101110;5;0
101111;6;0
101112;22;0
101113;0;0
101114;50;0
101115;0;0
101116;10;0
101117;7;0
101118;0;0
101119;0;0
101121;0;0
101122;0;0
101125;0;0
101128;0;0
101132;0;0
101133;54;0
101134;25;0
101135;49;0
101136;0;0
101137;0;0
101138;0;0
101139;0;0
101140;0;0
101141;0;0
101142;0;0
101143;0;0
101144;0;0
101145;0;0
101146;0;0
101147;0;0
101148;0;0
101149;0;0
101150;40;0
101151;0;0
101152;7;0
101153;25;0
101154;0;0
101155;0;0
101180;0;0
101181;0;0
101190;4;0
101191;13;0
101192;10;0
101193;3;0
101194;8;0
101195;8;0
101196;9;0
101197;6;0
101198;7;0
101199;2;0
101200;5;0
101201;5;0
101202;8;0
101203;7;0
101204;4;0
101205;4;0
101206;8;0
101207;5;0
101208;6;0
101209;4;0
101210;7;0
101211;8;0
101212;7;0
101213;7;0
101214;4;0
101215;8;0
101216;5;0
101217;7;0
101218;6;0
101219;5;0
101220;7;0
101221;9;0
101222;5;0
101223;6;0
101224;13;0
101225;5;0
101226;5;0
101227;1;0
101228;3;0
101229;17;0
101230;6;0
101231;5;0
101232;54;0
101233;7;0
101234;6;0
101235;1;0
101236;4;0
101237;2;0
101238;31;0
101239;3;0
101240;0;0
101241;2;0
101242;8;0
101243;2;0
101244;1;0
101245;0;0
101246;1;0
101247;7;0
101248;4;0
101249;5;0
101250;6;0
101251;1;0
101252;2;0
101253;27;0
101254;4;0
101255;13;0
101256;5;0
101257;1;0
101260;0;0
101265;7;0
101266;6;0
101267;5;0
101268;5;0
101269;0;0
101270;3;0
101313;10;0
101316;14;0
101317;5;0
101318;26;0
101319;6;0
101320;1;0
101327;0;0
101330;9;0
101331;16;0
101332;3;0
101333;52;0
101334;6;0
101335;10;0
101336;20;0
101337;11;0
101338;0;0
101339;13;0
101340;35;0
101341;0;0
101342;15;0
101343;13;0
101344;32;0
101345;5;0
101346;22;5
101347;3;0
101348;21;0
101349;8;0
101350;0;0
101351;12;0
101358;23;0
101359;2;0
101360;1;0
101361;5;0
101362;6;0
101363;4;0
101364;26;16
101365;14;6
101366;2;0
101367;1;0
101370;14;0
101371;9;0
101372;14;0
101373;29;0
101374;1;0
101375;0;0
101384;12;0
101385;16;0
101386;18;0
101387;3;0
101388;17;0
101389;0;0
101390;14;0
101391;8;0
101392;3;0
101393;8;0
101394;3;0
101395;7;0
101396;16;0
101397;26;0
101398;11;0
101399;2;0
101402;0;0
101415;3;0
101416;40;0
101417;6;0
101418;9;0
101419;5;0
101425;19;0
101426;14;0
101427;17;1
101428;1;0
101429;4;0
101430;1;0
101431;3;0
101432;7;0
101433;9;0
101434;28;0
101435;0;0
101441;11;0
101442;4;0
101443;12;0
101444;0;0
101445;0;0
101449;17;0
101450;19;0
101451;0;0
101452;11;0
101453;0;0
101457;5;0
101458;1;0
101459;3;0
101460;3;0
101461;2;0
101462;5;0
101463;3;0
101464;7;0
101465;5;0
101466;10;0
101467;16;0
101468;14;0
101469;0;0
101470;6;0
101471;0;0
101488;18;0
101489;2;0
101490;6;0
101492;21;0
101493;15;0
101494;13;0
101495;14;0
101496;9;0
101497;17;0
101498;11;0
101499;9;0
101500;7;0
101501;48;0
101502;22;0
101503;60;0
101504;3;0
101505;11;0
101506;5;0
101508;19;0
101509;21;0
101510;14;0
101511;25;0
101512;9;0
101516;0;0
101517;0;0
101519;10;0
101520;17;0
101521;3;0
101527;11;0
101528;19;0
101529;38;0
101530;15;0
101532;0;0
101533;4;0
101535;9;0
101536;0;0
101537;0;0
101538;0;0
101539;0;0
101540;0;0
101541;0;0
101542;0;0
101543;0;0
101544;0;0
101545;0;0
101546;0;0
101547;0;0
101548;0;0
101549;0;0
101550;0;0
101561;8;0
101562;17;0
101564;14;0
101565;0;0
101567;7;0
101568;16;0
101569;29;0
101570;0;0
101571;10;0
101572;2;0
101575;15;0
101579;0;0
101581;9;0
101582;9;0
101583;4;0
101584;17;0
101585;8;0
101586;29;0
101587;9;0
101588;31;0
101589;35;0
101599;16;0
101601;22;0
101603;12;0
101607;4;0
101608;6;0
101609;12;0
101610;6;0
101612;17;0
101633;8;0
101637;27;0
101638;26;0
101645;18;0
101646;6;0
101647;5;0
101650;4;0
101651;17;0
101652;2;0
101653;15;0
101654;22;0
101655;35;0
101656;17;0
101657;12;0
101662;7;0
101663;106;0
101664;27;0
101665;7;0
101666;11;4
101667;20;0
101668;23;0
101669;19;0
101670;16;0
101671;12;0
101672;19;0
101677;10;0
101679;15;0
101680;7;0
101681;6;0
101682;7;0
101683;31;0
101685;0;0
101686;10;0
101689;17;0
101690;0;0
101691;14;0
101696;0;0
101697;0;0
101699;20;0
101708;12;0
101709;11;0
101710;60;0
101711;22;0
101714;17;0
101716;0;0
101721;0;0
101722;0;0
101723;0;0
101724;0;0
101725;18;0
101726;7;0
101727;0;0
101728;0;0
101729;0;0
101730;13;0
101731;5;1
101732;0;0
101735;5;0
101736;4;0
101737;1;0
101739;1;0
101740;20;0
101745;0;0
101746;0;0
101747;0;0
101748;0;0
101749;0;0
101750;1;0
101752;0;0
101753;0;0
101754;6;0
101755;10;0
101756;12;0
101760;0;0
101761;0;0
101764;3;0
101765;7;0
101767;0;0
101768;12;0
101769;6;0
101770;0;0
101774;0;0
101775;17;0
101777;0;0
101778;0;0
101779;0;0
101780;0;0
101781;2;0
101782;5;0
101784;0;0
101786;8;0
101787;7;0
101788;5;0
101789;0;0
101790;0;0
101791;6;0
101792;0;0
101793;0;0
101794;0;0
101795;11;0
101796;7;0
101797;5;0
101798;10;0
101799;10;0
101800;1;0
101801;9;0
101802;5;0
101803;8;0
101804;8;0
101805;13;0
101806;12;0
101807;10;0
101808;7;1
101809;10;0
101810;6;0
101811;0;0
101812;7;0
101813;0;0
101814;0;0
101815;0;0
101816;0;0
101817;0;0
101818;11;0
101819;6;0
101821;7;0
101822;9;0
101823;0;0
101824;0;0
101825;12;0
101826;10;0
101827;2;0
101828;9;0
101829;18;0
101830;0;0
101831;5;0
101835;1;0
101836;1;0
101837;0;0
101838;0;0
101839;1;0
101840;1;0
101841;0;0
101842;0;0
101843;0;0
101844;3;0
101845;4;0
101846;2;0
101847;2;0
101848;0;0
101849;5;0
101850;0;0
101851;3;0
101852;9;0
101853;5;0
101854;4;0
101855;4;0
101856;2;0
101857;0;0
101858;0;0
101859;8;0
101860;0;0
101861;3;0
101862;0;0
101863;1;0
101864;0;0
101865;0;0
101866;0;0
101867;0;0
101868;0;0
101870;1;0
101871;1;0
101872;1;0
101873;2;0
101874;5;0
101875;7;0
101876;0;0
101878;13;0
101879;14;0
101880;15;0
101881;6;0
101882;0;0
101883;11;0
101888;2;0
101889;5;0
101890;1;0
101895;2;0
101896;0;0
101897;0;0
101898;7;0
101899;5;0
101900;5;0
101901;6;0
101902;0;0
101903;0;0
101908;2;0
101909;0;0
101910;25;0
101911;12;0
101912;26;0
101913;26;0
101914;5;0
101915;9;0
101916;7;0
101917;3;1
101918;24;0
101919;23;0
101920;4;0
101921;0;0
101923;9;0
101924;9;0
101925;3;0
101926;14;0
101927;3;0
101928;0;0
101929;14;1
101930;12;0
101931;14;0
101932;2;0
101933;11;0
101934;0;0
101935;0;0
101936;7;0
101937;16;0
101938;0;0
101939;0;0
101940;1;0
101941;1;0
101942;0;0
101943;1;0
101944;0;0
101945;0;0
101946;0;0
101947;7;0
101948;5;0
101949;2;0
101950;5;0
101952;9;0
101953;5;0
101954;11;0
101955;8;0
101956;11;0
101957;5;0
101958;2;0
101959;5;0
101960;7;0
101961;13;0
101962;0;0
101963;0;0
101964;0;0
101965;6;0
101966;12;0
101969;0;0
101970;0;0
101971;0;0
101972;0;0
101973;0;0
101974;0;0
101975;0;0
101976;3;0
101977;12;0
101978;8;0
101979;8;0
101980;0;0
101981;6;0
101982;9;0
101983;17;0
101984;2;0
101985;8;0
101987;1;0
101988;1;0
101990;8;0
101991;6;0
101992;5;0
101993;3;0
101994;18;0
101995;16;0
101996;11;0
101997;0;0
101998;0;0
102000;28;0
102002;0;0
102004;0;0
102005;23;0
102006;21;0
102007;14;0
102008;11;0
102009;3;0
102010;4;1
102011;25;0
102012;6;0
102014;8;0
102016;14;0
102018;6;0
102019;0;0
102020;3;0
102021;1;1
102022;8;0
102023;1;0
102024;0;0
102025;0;0
102026;2;0
102032;0;0
102033;8;0
102034;2;0
102035;7;0
102036;17;0
102040;4;0
102041;3;0
102042;4;0
102043;11;0
102044;14;0
102045;8;0
102046;9;0
102047;9;0
102048;14;0
102049;17;0
102050;4;0
102051;1;0
102052;6;0
102053;13;0
102054;17;0
102055;0;0
102056;7;0
102057;5;0
102059;2;0
102060;5;0
102061;7;0
102062;3;0
102063;1;0
102064;6;0
102065;6;0
102067;6;0
102068;1;0
102070;0;0
102071;0;0
102072;12;0
102073;5;1
102074;7;0
102075;6;0
102076;0;0
102077;0;0
102078;7;0
102079;21;0
102080;0;0
102081;0;0
102082;52;0
102083;0;0
102084;0;0
102088;8;0
102089;17;1
102090;11;0
102091;8;0
102092;3;0
102093;2;0
102094;1;1
102095;23;0
102096;15;0
102097;8;0
102098;15;0
102099;1;0
102100;0;0
102101;2;0
102102;4;0
102103;11;0
102104;4;0
102105;15;0
102106;20;0
102107;8;0
102108;8;0
102110;0;0
102112;2;1
102113;2;0
102114;4;0
102115;2;0
102116;20;0
102117;13;0
102118;19;0
102119;19;0
102121;0;0
102122;26;0
102123;0;0
102124;4;0
102125;4;0
102126;8;0
102127;7;0
102128;9;0
102129;2;0
102130;8;0
102131;3;0
102132;5;0
102133;4;0
102134;20;0
102135;12;0
102136;17;0
102137;10;0
102138;20;0
102139;12;0
102140;16;0
102141;20;0
102142;10;0
102143;21;1
102144;3;0
102145;16;0
102147;0;0
102148;20;0
102149;0;0
102150;0;0
102151;1;0
102152;1;0
102154;7;0
102155;8;0
102156;18;0
102157;6;1
102158;12;0
102159;15;0
102160;12;1
102161;0;0
102162;6;0
102163;13;0
102164;10;1
102165;0;0
102166;0;0
102167;4;0
102168;8;0
102169;9;4
102170;14;0
102171;12;0
102172;8;0
102173;0;0
102174;2;0
102175;23;0
102176;5;0
102177;7;0
102178;0;0
102179;0;0
102180;6;0
102181;0;0
102182;0;0
102183;1;0
102185;15;0
102186;6;0
102187;11;0
102188;13;0
102189;4;0
102190;3;0
102191;13;0
102192;5;0
102193;11;0
102194;2;0
102195;1;0
102196;0;0
102197;0;0
102198;1;0
102199;1;0
102200;0;0
102201;6;0
102202;10;0
102206;0;0
102208;1;0
102209;1;0
102210;0;0
102211;1;0
102212;0;0
102213;0;0
102214;0;0
102215;10;0
102216;7;0
102217;12;0
102218;2;0
102219;14;0
102220;6;0
102221;11;0
102222;4;0
102223;1;0
102224;8;0
102237;28;0
102238;28;1
102239;20;0
102240;18;0
102241;8;0
102242;0;0
102243;10;0
102244;35;0
102245;3;0
102246;8;0
102247;15;0
102248;0;0
102249;1;0
102250;1;0
102251;0;0
102252;1;0
102253;1;0
102254;0;0
102255;0;0
102256;8;0
102257;11;0
102258;6;0
102259;10;0
102260;0;0
102261;7;0
102262;6;0
102263;8;0
102264;14;0
102265;16;0
102266;46;0
102267;48;0
102268;22;0
102269;5;0
102270;8;0
102271;9;0
102272;0;0
102273;1;0
102274;0;0
102275;1;0
102276;1;0
102277;0;0
102278;6;0
102279;4;0
102280;6;0
102281;12;0
102282;12;0
102283;11;0
102284;7;0
102285;5;0
102286;15;0
102287;0;0
102288;6;0
102289;3;0
102290;2;0
102291;19;0
102292;0;0
102293;7;0
102294;2;0
102295;3;0
102296;4;0
102297;2;0
102298;3;0
102299;0;0
102301;8;0
102302;13;0
102303;4;1
102304;3;0
102305;6;0
102306;0;0
102307;0;0
102308;0;0
102309;0;0
102310;0;0
102311;0;0
102312;0;0
102313;0;0
102314;0;0
102316;0;0
102317;4;0
102318;3;0
102319;0;0
102320;12;0
102321;25;0
102322;9;0
102323;6;0
102324;0;0
102325;0;0
102326;0;0
102327;0;0
102328;17;0
102329;2;0
102330;2;0
102331;13;0
102332;4;0
102333;4;2
102334;26;0
102335;8;0
102336;8;0
102337;19;0
102338;7;0
102339;2;0
102340;3;0
102341;0;0
102342;0;0
102343;15;0
102344;10;0
102345;14;0
102347;18;0
102348;28;0
102349;7;0
102350;27;0
102351;9;0
102352;14;0
102353;10;0
102354;14;0
102355;0;0
102356;6;0
102357;7;0
102358;6;0
102359;25;0
102360;14;1
102361;14;0
102362;17;0
102363;17;0
102364;10;0
102365;13;0
102366;13;0
102367;7;1
102368;14;0
102369;20;0
102370;14;0
102371;3;0
102372;10;0
102373;5;0
102374;1;0
102375;12;0
102376;0;0
102377;12;0
102378;2;0
102379;15;0
102380;10;1
102381;12;0
102382;4;0
102383;1;0
102384;8;0
102385;6;0
102386;0;0
102387;0;0
102388;14;0
102389;19;0
102390;14;0
102391;16;0
102398;0;0
102399;0;0
102400;9;0
102401;6;0
102402;3;0
102403;9;0
102404;1;0
102405;6;0
102406;6;0
102407;6;0
102408;4;0
102409;10;0
102410;9;0
102411;10;0
102412;14;0
102413;8;0
102414;3;0
102415;6;0
102416;9;0
102417;4;0
102418;7;0
102419;7;0
102420;1;0
102421;19;1
102422;0;0
102423;6;0
102424;14;0
102425;2;0
102426;1;0
102427;7;0
102429;2;0
102430;5;0
102432;3;0
102433;10;0
102435;2;0
102436;19;0
102437;5;0
102439;1;0
102440;8;0
102442;2;0
102443;14;0
102445;3;0
102446;13;0
102447;5;0
102448;5;0
102449;0;0
102450;6;0
102451;2;0
102452;4;0
102453;5;0
102454;0;0
102455;1;0
102456;6;0
102457;8;0
102459;1;0
102460;3;0
102461;14;0
102462;5;0
102463;10;0
102464;14;0
102465;12;0
102466;6;0
102467;22;0
102468;6;0
102469;1;0
102470;3;0
102471;8;0
102472;0;0
102473;0;0
102474;0;0
102475;2;0
102476;10;0
102477;8;0
102478;3;0
102479;16;0
102480;20;0
102481;4;0
102482;13;0
102483;7;0
102484;2;0
102485;3;0
102486;5;0
102487;0;0
102488;8;0
102489;2;0
102490;8;0
102491;2;0
102492;5;0
102494;4;0
102495;2;0
102496;0;0
102497;0;0
102498;7;0
102499;5;0
102500;12;0
102501;8;0
102502;0;0
102503;7;0
102504;1;0
102505;7;0
102506;2;0
102507;11;0
102508;0;0
102509;10;0
102510;1;0
102513;0;0
102514;0;0
102515;0;0
102516;0;0
102518;7;0
102519;1;0
102520;10;0
102521;1;0
102522;17;0
102523;5;0
102524;20;0
102525;10;0
102526;16;0
102527;16;0
102528;1;0
102529;0;0
102530;3;1
102531;1;0
102532;6;0
102533;1;0
102534;13;0
102535;3;0
102536;11;0
102537;5;0
102538;7;0
102539;9;0
102540;6;0
102541;8;0
102542;12;0
102543;21;0
102544;1;0
102545;9;0
102546;15;0
102547;6;0
102548;14;0
102549;20;0
102550;18;0
102551;25;0
102552;32;0
102553;0;0
102554;0;0
102555;0;0
102556;0;0
102557;7;0
102558;6;0
102559;10;0
102560;17;0
102561;11;0
102562;0;0
102563;38;0
102564;9;0
102565;2;0
102566;3;0
102567;2;0
102568;6;0
102569;1;0
102570;28;0
102571;9;0
102572;11;0
102573;8;0
102574;17;0
102575;0;0
102576;2;0
102577;8;0
102579;7;0
102580;10;0
102581;14;0
102582;1;0
102583;0;0
102584;0;0
102585;15;0
102586;6;0
102587;0;0
102588;16;0
102589;1;0
102590;46;0
102591;0;0
102592;0;0
102593;0;0
102594;5;0
102595;0;0
102596;0;0
102597;12;1
102599;0;0
102600;0;0
102601;4;0
102603;2;0
102604;9;3
102605;9;0
102606;10;0
102608;2;0
102609;14;0
102611;5;0
102612;3;0
102613;0;0
102614;3;0
102615;0;0
102616;0;0
102617;0;0
102618;0;0
102619;1;0
102620;6;0
102621;4;0
102622;0;0
102623;4;0
102624;3;0
102625;1;0
102626;4;0
102627;14;0
102628;14;0
102629;6;1
102630;7;0
102631;8;0
102632;2;0
102633;8;0
102634;4;0
102635;8;0
102636;13;0
102639;7;0
102640;4;0
102641;8;0
102642;23;0
102643;1;0
102644;9;0
102645;10;0
102646;1;0
102647;0;0
102648;12;0
102649;10;0
102650;8;0
102651;10;0
102652;15;0
102653;16;0
102654;6;0
102655;12;0
102656;16;0
102657;12;0
102658;23;0
102659;19;0
102660;0;0
102661;0;0
102662;0;0
102663;12;0
102664;23;0
102665;11;0
102666;17;0
102667;5;0
102668;4;0
102669;0;0
102670;15;0
102671;4;0
102672;13;0
102673;14;0
102674;0;0
102675;0;0
102676;0;0
102677;0;0
102678;0;0
102679;7;0
102680;18;0
102681;3;0
102682;11;0
102683;2;0
102684;0;0
102685;12;0
102686;2;0
102687;11;0
102688;12;0
102689;8;0
102690;5;0
102691;7;0
102692;0;0
102693;5;0
102694;9;0
102695;0;0
102696;4;0
102697;2;0
102698;77;0
102699;8;0
102700;6;0
102701;1;0
102703;0;0
102704;10;0
102705;0;0
102706;1;0
102707;14;0
102708;13;0
102709;0;0
102710;8;0
102711;6;0
102712;0;0
102713;11;0
102714;4;0
102715;7;0
102716;9;0
102717;6;0
102718;10;0
102719;3;0
102720;7;0
102721;9;0
102722;17;0
102723;7;0
102724;11;0
102725;0;0
102726;8;0
102727;35;0
102728;4;0
102729;6;0
102730;8;0
102731;6;0
102732;3;0
102733;0;0
102734;0;0
102735;0;0
102736;0;0
102738;2;0
102739;6;0
102740;2;0
102741;2;0
102742;54;0
102743;11;0
102744;9;0
102745;9;0
102746;10;0
102747;10;0
102748;13;0
102749;4;0
102750;2;0
102751;38;0
102752;10;0
102753;10;0
102754;7;0
102755;10;0
102756;11;0
102757;4;0
102758;6;0
102759;20;0
102760;7;0
102761;11;0
102762;4;0
102763;8;0
102764;11;0
102765;5;0
102766;7;0
102767;0;0
102768;3;0
102769;11;0
102770;13;0
102771;3;0
102772;11;0
102773;3;0
102774;11;0
102775;15;0
102776;14;0
102777;5;0
102778;12;0
102779;12;0
102780;2;0
102781;4;0
102782;13;0
102783;5;0
102784;7;0
102785;3;0
102786;10;0
102787;0;0
102788;14;0
102789;1;0
102790;7;0
102791;16;0
102792;10;0
102793;0;0
102794;0;0
102795;0;0
102797;6;0
102798;5;0
102799;4;0
102800;14;0
102801;10;0
102802;3;0
102803;0;0
102804;0;0
102805;17;0
102806;8;0
102807;5;0
102808;5;0
102809;24;0
102810;7;0
102811;2;0
102812;0;0
102813;28;0
102814;6;0
102815;4;0
102816;1;0
102817;0;0
102818;0;0
102819;0;0
102820;5;0
102821;2;0
102822;17;0
102823;3;0
102824;0;0
102825;0;0
102826;0;0
102827;0;0
102828;33;0
102829;48;0
102830;22;0
102831;6;0
102832;3;0
102833;5;0
102834;3;0
102835;3;0
102836;0;0
102837;8;0
102838;10;0
102839;1;0
102840;11;0
102841;9;0
102842;6;0
102843;32;0
102844;26;0
102845;28;0
102846;11;0
102847;20;0
102848;10;0
102849;2;0
102850;24;0
102851;4;0
102852;1;0
102853;17;0
102854;11;0
102855;1;0
102856;1;0
102857;4;0
102858;0;0
102859;2;0
102860;1;0
102861;2;0
102862;10;0
102863;0;0
102864;11;0
102865;17;0
102866;22;0
102867;43;0
102868;8;0
102869;5;0
102870;0;0
102872;6;0
102873;10;0
102874;0;0
102875;4;0
102876;0;0
102877;0;0
102878;0;0
102879;0;0
102881;0;0
102882;0;0
102883;0;0
102884;0;0
102885;12;0
102886;0;0
102887;0;0
102888;23;0
102889;5;0
102890;2;0
102891;1;0
102892;2;0
102893;3;0
102894;4;0
102895;3;0
102896;4;0
102897;3;0
102898;2;0
102899;0;0
102914;43;0
102915;24;0
102916;8;0
102917;10;0
102918;31;0
102919;27;0
102920;23;0
102921;24;0
102922;9;0
102923;33;0
102924;30;0
102925;50;4
102926;22;0
102927;66;1
102930;36;0
102931;41;0
102932;44;0
102933;23;0
102934;36;0
102935;18;0
102936;22;0
102937;22;0
